Formula,Cr,Ti,Zr,MaxFWHM,composition,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang omega,Yang delta
Cr0.284341237Ti0.496823536Zr0.218835227,0.284341237,0.496823536,0.218835227,0.512948842,Cr0.28434124 Ti0.49682354 Zr0.21883523,-0.170042358,-0.076485957,-0.045597679,2.547300142,0.069299924
Cr0.308275563Ti0.46903023Zr0.222694207,0.308275563,0.46903023,0.222694207,0.521107224,Cr0.30827556 Ti0.46903023 Zr0.22269421,-0.179548865,-0.084148571,-0.046113617,2.449836332,0.070975858
Cr0.333199846Ti0.441037281Zr0.225762873,0.333199846,0.441037281,0.225762873,0.522325748,Cr0.33319985 Ti0.44103728 Zr0.22576287,-0.188014328,-0.090967902,-0.045901188,2.360379043,0.072574111
Cr0.35898383Ti0.413019367Zr0.227996803,0.35898383,0.413019367,0.227996803,0.528766656,Cr0.35898383 Ti0.41301937 Zr0.2279968,-0.195095409,-0.096693754,-0.048495833,2.278513657,0.074078154
Cr0.385476989Ti0.385160602Zr0.229362409,0.385476989,0.385160602,0.229362409,0.53897658,Cr0.38547699 Ti0.3851606 Zr0.22936241,-0.200489906,-0.101105084,-0.050402754,2.203811145,0.075471412
Cr0.412508997Ti0.357644889Zr0.229846113,0.412508997,0.357644889,0.229846113,0.551082357,Cr0.412509 Ti0.35764489 Zr0.22984611,-0.203973567,-0.104034762,-0.051589291,2.135836722,0.076738332
Cr0.439891546Ti0.330658974Zr0.22944948,0.439891546,0.330658974,0.22944948,0.562326349,Cr0.43989155 Ti0.33065897 Zr0.22944948,-0.205427728,-0.10538853,-0.052074621,2.074159306,0.077864397
Cr0.467431473Ti0.304378422Zr0.228190106,0.467431473,0.304378422,0.228190106,0.573105159,Cr0.46743147 Ti0.30437842 Zr0.22819011,-0.204854698,-0.105156687,-0.051910743,2.018336578,0.078837095
Cr0.494928177Ti0.278967401Zr0.226104422,0.494928177,0.278967401,0.226104422,0.581761575,Cr0.49492818 Ti0.2789674 Zr0.22610442,-0.202374698,-0.103413598,-0.051178391,1.967933592,0.079646384
Cr0.522186989Ti0.254573909Zr0.223239102,0.522186989,0.254573909,0.223239102,0.587630215,Cr0.52218699 Ti0.25457391 Zr0.2232391,-0.198204955,-0.100305054,-0.049292054,1.922520522,0.0802847
Cr0.54901797Ti0.231325556Zr0.219656474,0.54901797,0.231325556,0.219656474,0.597608566,Cr0.54901797 Ti0.23132556 Zr0.21965647,-0.192630678,-0.096029859,-0.04691676,1.88168013,0.080747669
Cr0.575250546Ti0.209323866Zr0.215425588,0.575250546,0.209323866,0.215425588,0.602928285,Cr0.57525055 Ti0.20932387 Zr0.21542559,-0.185967124,-0.09081404,-0.044342065,1.845005145,0.081033879
Cr0.600728942Ti0.188646837Zr0.210624221,0.600728942,0.188646837,0.210624221,0.610796151,Cr0.60072894 Ti0.18864684 Zr0.21062422,-0.178529018,-0.084889575,-0.041697701,1.812110021,0.081145022
Cr0.141923781Ti0.693418161Zr0.164658059,0.141923781,0.693418161,0.164658059,0.403728601,Cr0.14192378 Ti0.69341816 Zr0.16465806,-0.093240898,-0.012805658,-0.027549522,3.56110305,0.054965713
Cr0.156698799Ti0.671227769Zr0.172073432,0.156698799,0.671227769,0.172073432,0.438064726,Cr0.1566988 Ti0.67122777 Zr0.17207343,-0.102134538,-0.020393836,-0.030499937,3.394419896,0.056798969
Cr0.172678557Ti0.648025561Zr0.179295882,0.172678557,0.648025561,0.179295882,0.453096563,Cr0.17267856 Ti0.64802556 Zr0.17929588,-0.111554803,-0.028364331,-0.033438065,3.238332621,0.058645793
Cr0.189898754Ti0.623850832Zr0.186250415,0.189898754,0.623850832,0.186250415,0.469534612,Cr0.18989875 Ti0.62385083 Zr0.18625042,-0.121445821,-0.036660878,-0.036287922,3.092442095,0.06049911
Cr0.20837738Ti0.598766581Zr0.19285604,0.20837738,0.598766581,0.19285604,0.47819753,Cr0.20837738 Ti0.59876658 Zr0.19285604,-0.131713674,-0.045198586,-0.038960958,2.956393391,0.062349871
Cr0.228115347Ti0.572854587Zr0.199030066,0.228115347,0.572854587,0.199030066,0.499402841,Cr0.22811535 Ti0.57285459 Zr0.19903007,-0.142220251,-0.053860909,-0.041359091,2.829831573,0.064187521
Cr0.249094349Ti0.546216605Zr0.204689046,0.249094349,0.546216605,0.204689046,0.513109863,Cr0.24909435 Ti0.54621661 Zr0.20468905,-0.152776472,-0.062496034,-0.043378336,2.712394234,0.065999936
Cr0.271275783Ti0.518970299Zr0.209753918,0.271275783,0.518970299,0.209753918,0.517782723,Cr0.27127578 Ti0.5189703 Zr0.20975392,-0.163140173,-0.070916625,-0.044913828,2.603708079,0.06777381
Cr0.294593258Ti0.491256651Zr0.214150091,0.294593258,0.491256651,0.214150091,0.523718033,Cr0.29459326 Ti0.49125665 Zr0.21415009,-0.173016902,-0.078900892,-0.045865464,2.503412367,0.069494266
Cr0.31896005Ti0.463231016Zr0.217808933,0.31896005,0.463231016,0.217808933,0.530577494,Cr0.31896005 Ti0.46323102 Zr0.21780893,-0.182075907,-0.086204449,-0.046145319,2.411117228,0.071145529
Cr0.344261559Ti0.435063419Zr0.220675022,0.344261559,0.435063419,0.220675022,0.539893223,Cr0.34426156 Ti0.43506342 Zr0.22067502,-0.189971023,-0.092574258,-0.047213509,2.326439326,0.072711245
Cr0.370361922Ti0.406931965Zr0.222706113,0.370361922,0.406931965,0.222706113,0.538676721,Cr0.37036192 Ti0.40693197 Zr0.22270611,-0.19637405,-0.097771141,-0.049620508,2.248978038,0.07417504
Cr0.397103641Ti0.379025246Zr0.223871114,0.397103641,0.379025246,0.223871114,0.548325059,Cr0.39710364 Ti0.37902525 Zr0.22387111,-0.201009139,-0.101592454,-0.051320855,2.178330382,0.075520541
Cr0.424313205Ti0.351527561Zr0.224159234,0.424313205,0.351527561,0.224159234,0.558598486,Cr0.42431321 Ti0.35152756 Zr0.22415923,-0.203688759,-0.103896612,-0.052311768,2.114083093,0.076732722
Cr0.45180236Ti0.324623569Zr0.223574071,0.45180236,0.324623569,0.223574071,0.567586795,Cr0.45180236 Ti0.32462357 Zr0.22357407,-0.204335931,-0.104618524,-0.052623308,2.055826503,0.077797737
Cr0.479378449Ti0.298485794Zr0.222135757,0.479378449,0.298485794,0.222135757,0.575340478,Cr0.47937845 Ti0.29848579 Zr0.22213576,-0.202993704,-0.10377744,-0.052316936,2.003145153,0.07870386
Cr0.506844465Ti0.273273528Zr0.219882007,0.506844465,0.273273528,0.219882007,0.585214161,Cr0.50684447 Ti0.27327353 Zr0.21988201,-0.199816673,-0.101472843,-0.051268128,1.955630378,0.079441885
Cr0.534012376Ti0.249127289Zr0.216860334,0.534012376,0.249127289,0.216860334,0.591442822,Cr0.53401238 Ti0.24912729 Zr0.21686033,-0.195045705,-0.097868666,-0.049167027,1.912878278,0.080005132
Cr0.560700206Ti0.226164959Zr0.213134834,0.560700206,0.226164959,0.213134834,0.594831169,Cr0.56070021 Ti0.22616496 Zr0.21313483,-0.188977843,-0.093173921,-0.046781798,1.874495735,0.080390236
Cr0.586744133Ti0.20448033Zr0.208775537,0.586744133,0.20448033,0.208775537,0.600733532,Cr0.58674413 Ti0.20448033 Zr0.20877554,-0.181929184,-0.087617164,-0.044243229,1.840103686,0.08059663
Cr0.611996747Ti0.184143333Zr0.20385992,0.611996747,0.184143333,0.20385992,0.605324637,Cr0.61199675 Ti0.18414333 Zr0.20385992,-0.174206297,-0.081426355,-0.041677624,1.80934362,0.080626726
Cr0.133837768Ti0.712260428Zr0.153901803,0.133837768,0.712260428,0.153901803,0.419420781,Cr0.13383777 Ti0.71226043 Zr0.1539018,-0.087784018,-0.00808599,-0.025736474,3.634689084,0.053282252
Cr0.147988555Ti0.690701155Zr0.16131029,0.147988555,0.690701155,0.16131029,0.437571737,Cr0.14798855 Ti0.69070115 Zr0.16131029,-0.096302184,-0.015396561,-0.028639006,3.465749544,0.055119283
Cr0.16331616Ti0.668099558Zr0.168584282,0.16331616,0.668099558,0.168584282,0.461263013,Cr0.16331616 Ti0.66809956 Zr0.16858428,-0.10535523,-0.023104339,-0.031571345,3.3073474,0.056972421
Cr0.179862571Ti0.644484263Zr0.175653165,0.179862571,0.644484263,0.175653165,0.47468358,Cr0.17986257 Ti0.64448426 Zr0.17565316,-0.114905055,-0.031166882,-0.034466788,3.159065116,0.058835337
Cr0.197653486Ti0.619906454Zr0.18244006,0.197653486,0.619906454,0.18244006,0.482930156,Cr0.19765349 Ti0.61990645 Zr0.18244006,-0.124881282,-0.039516716,-0.037245396,3.020547422,0.060699832
Cr0.216699568Ti0.59443535Zr0.188865083,0.216699568,0.59443535,0.188865083,0.498617104,Cr0.21669957 Ti0.59443535 Zr0.18886508,-0.135175487,-0.048058418,-0.039816306,2.891443517,0.062556264
Cr0.23699562Ti0.568157744Zr0.194846636,0.23699562,0.568157744,0.194846636,0.504999022,Cr0.23699562 Ti0.56815774 Zr0.19484664,-0.145634124,-0.056664774,-0.042080566,2.771391868,0.0643936
Cr0.258513726Ti0.541183532Zr0.200302742,0.258513726,0.541183532,0.200302742,0.521627379,Cr0.25851373 Ti0.54118353 Zr0.20030274,-0.15605056,-0.06517206,-0.043934577,2.660047145,0.066199092
